1	2025-08-11T17:54:20.085976900Z	0		Buy milk
1	2025-08-11T17:55:21.599992100Z	0		finish assignment
0	2025-08-11T17:58:21.012960Z	0		Buy milk
0	2025-08-11T19:00:22.084389700Z	0		buy milk and coffe:
0	2025-08-11T19:03:00.933698600Z	2	groceries,urgent	Buy milk
0	2025-08-11T19:03:47.867046700Z	2		Buy milk
0	2025-08-11T19:15:48.401213Z	2	groceries,urgent	Buy milk
0	2025-08-11T19:16:07.992592500Z	2	groceries,urgent	Buy milk\t\tffff
0	2025-08-11T19:16:33.969319100Z	2	groceries,urgent	Buy milk   \n tg
0	2025-08-11T19:17:00.427875700Z	2	groceries,urgent	Buy milk \\n grrftgr
0	2025-08-11T19:46:08.224280Z	0		Buy milk and bread\
0	2025-08-11T19:46:27.031786200Z	0		Buy milk 
0	2025-08-11T19:47:21.494508200Z	0		Buy milk  '' and bread\
0	2025-08-11T19:50:50.122383900Z	0		DCD CDCD CDEC
0	2025-08-11T19:57:41.769360Z	0		dds 
0	2025-08-11T19:58:01.971560700Z	0		dcc rvd dc
0	2025-08-11T19:58:10.971417300Z	0		dcfrd
0	2025-08-11T19:58:20.903393800Z	0		cd  
0	2025-08-11T20:04:09.282460300Z	0		Buy milk and bread\
0	2025-08-11T20:04:33.262148400Z	0		Buy milk and bread\
0	2025-08-11T20:05:00.095363800Z	0		Buy milk and bread\
0	2025-08-11T20:05:18.778521400Z	2		Buy milk and bread\
0	2025-08-11T20:05:40.350953500Z	0		Buy milk and bread\
0	2025-08-11T20:09:57.507655500Z	2		--priority 2
0	2025-08-11T20:14:56.664770200Z	2		bfggt --priority 2
